step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
399,0.12976,0.97183,,
400,0.07691,0.97222,0.00391,1.0
401,0.01917,1.0,,
402,0.13197,0.96774,,
403,0.00228,1.0,,
404,0.0015,1.0,,
405,0.06395,0.98438,,
406,0.24386,0.96429,,
407,0.0069,1.0,,
408,0.00483,1.0,,
409,0.10906,0.98507,,
410,0.00282,1.0,,
411,0.17245,0.96875,,
412,0.17822,0.96721,,
413,0.14379,0.97059,,
414,0.07634,0.97183,,
415,0.04186,0.98333,,
416,0.10973,0.96875,,
417,0.04105,0.96774,,
418,0.06664,0.98413,,
419,0.09542,0.9726,,
420,0.10072,0.98361,,
421,0.13422,0.95455,,
422,0.09891,0.96552,,
423,0.08054,0.98413,,
424,0.07522,0.98485,,
425,0.03321,0.98438,,
426,0.02278,1.0,,
427,0.07378,0.9697,,
428,0.04328,0.98276,,
429,0.27268,0.88406,,
430,0.03052,0.98507,,
431,0.04648,0.98276,,
432,0.00858,1.0,,
433,0.11036,0.95775,,
434,0.11478,0.9661,,
435,0.01657,1.0,,
436,0.02093,0.98529,,
437,0.09905,0.95082,,
438,0.03174,0.98507,,
439,0.14417,0.95161,,
440,0.11129,0.97015,,
441,0.0244,1.0,,
442,0.03736,0.98305,,
443,0.14713,0.93333,,
444,0.07953,0.9661,,
445,0.00339,1.0,,
446,0.1469,0.95833,,
447,0.10442,0.9375,,
448,0.18576,0.94915,,
449,0.09987,0.98438,,
450,0.01251,1.0,,
451,0.24323,0.9322,,
452,0.01454,1.0,,
453,0.0473,0.96923,,
454,0.09189,0.97059,,
455,0.13163,0.95161,,
456,0.04745,0.98413,,
457,0.08129,0.96667,,
458,0.00413,1.0,,
459,0.04943,0.98611,,
460,0.00576,1.0,,
461,0.00289,1.0,,
462,0.02678,0.98182,,
463,0.06548,0.98462,,
464,0.13465,0.96667,,
465,0.29096,0.95588,,
466,0.0731,0.97368,,
467,0.1211,0.96552,,
468,0.09513,0.98387,,
469,0.15384,0.96296,,
470,0.00592,1.0,,
471,0.1307,0.98305,,
472,0.00211,1.0,,
473,0.05186,0.96491,,
474,0.03556,0.98361,,
475,0.10128,0.9697,,
476,0.0824,0.96721,,
477,0.06814,0.95775,,
478,0.04715,0.98305,,
479,0.15255,0.96875,,
480,0.12786,0.95385,,
481,0.25029,0.97015,,
482,0.11988,0.95775,,
483,0.06935,0.96721,,
484,0.0707,0.98507,,
485,0.05459,0.98333,,
486,0.00683,1.0,,
487,0.00432,1.0,,
488,0.07573,0.98438,,
489,0.04347,0.98305,,
490,0.04411,0.98529,,
491,0.00205,1.0,,
492,0.11449,0.98148,,
493,0.02634,0.98485,,
494,0.03094,0.98571,,
495,0.04717,0.98276,,
496,0.04282,0.98333,,
497,0.09759,0.97222,,
498,0.04912,0.98592,,
499,0.02091,0.9863,,
500,0.00739,1.0,0.21001,0.97778
501,0.05457,0.96552,,
502,0.06264,0.98529,,
503,0.079,0.96721,,
504,0.08434,0.96875,,
505,0.10041,0.98361,,
506,0.06705,0.98276,,
507,0.127,0.96825,,
508,0.08072,0.97143,,
509,0.07984,0.98462,,
510,0.08298,0.98333,,
511,0.00584,1.0,,
512,0.2474,0.96923,,
513,0.01314,1.0,,
514,0.00682,1.0,,
515,0.14499,0.96875,,
516,0.07594,0.98529,,
517,0.01095,1.0,,
518,0.00525,1.0,,
519,0.03549,0.98611,,
520,0.01698,1.0,,
521,0.00579,1.0,,
522,0.07367,0.98507,,
523,0.00372,1.0,,
524,0.04188,0.98305,,
525,0.00689,1.0,,
526,0.00225,1.0,,
527,0.03869,0.98276,,
528,0.00167,1.0,,
529,0.00022,1.0,,
530,0.07505,0.98438,,
531,0.17005,0.96721,,
532,0.00024,1.0,,
533,0.25461,0.95,,
534,0.06833,0.98571,,
535,0.10388,0.96721,,
536,0.0002,1.0,,
537,0.231,0.96154,,
538,0.09661,0.98462,,
539,0.00029,1.0,,
540,0.05396,0.98571,,
541,0.10758,0.9697,,
542,0.09736,0.98276,,
543,0.17202,0.96875,,
544,0.00011,1.0,,
545,0.06236,0.95238,,
546,0.00358,1.0,,
547,0.02323,0.98485,,
548,0.02675,0.98462,,
549,0.009,1.0,,
550,0.00022,1.0,,
551,0.15854,0.98413,,
552,0.04714,0.98387,,
553,0.05654,0.98571,,
554,0.21186,0.97297,,
555,0.27589,0.95652,,
556,0.00561,1.0,,
557,0.32623,0.9375,,
558,0.13094,0.9661,,
559,0.10397,0.98387,,
560,0.01121,1.0,,
561,0.00305,1.0,,
562,0.18017,0.94828,,
563,0.0618,0.97015,,
564,0.0069,1.0,,
565,0.08129,0.98571,,
566,0.02089,0.98413,,
567,0.00775,1.0,,
568,0.08822,0.98361,,
569,0.00335,1.0,,
570,0.00649,1.0,,
571,0.19059,0.96721,,
572,0.0339,0.98507,,
573,0.06464,0.98276,,
574,0.12945,0.98182,,
575,0.00294,1.0,,
576,0.04809,0.98361,,
577,0.00297,1.0,,
578,0.04496,0.98462,,
579,0.13378,0.97015,,
580,0.11609,0.98246,,
581,0.00942,1.0,,
582,0.00474,1.0,,
583,0.00053,1.0,,
584,0.0649,0.98305,,
585,0.02559,0.98413,,
586,0.00059,1.0,,
587,0.00055,1.0,,
588,0.0904,0.98361,,
589,0.16061,0.96825,,
590,0.13195,0.98529,,
591,0.00212,1.0,,
592,0.00097,1.0,,
593,0.31109,0.95312,,
594,0.19037,0.98507,,
595,0.00657,1.0,,
596,0.10949,0.98413,,
597,0.12614,0.95588,,
598,0.0079,1.0,,
599,0.00081,1.0,,
600,0.2192,0.97015,0.00161,1.0
601,0.0814,0.98246,,
602,0.00481,1.0,,
603,0.00195,1.0,,
604,0.00699,1.0,,
605,0.00691,1.0,,
606,0.03374,0.98529,,
607,0.14042,0.98305,,
608,0.05899,0.98182,,
609,0.00174,1.0,,
610,0.01424,0.98438,,
611,0.00306,1.0,,
612,0.10725,0.98113,,
613,0.00244,1.0,,
614,0.22771,0.96721,,
615,0.00198,1.0,,
616,0.01067,1.0,,
617,0.0329,0.98551,,
618,0.16186,0.98413,,
619,0.0933,0.96667,,
620,0.0005,1.0,,
621,0.08283,0.98571,,
622,0.24868,0.95455,,
623,0.00042,1.0,,
624,0.0308,0.98507,,
625,0.06891,0.98462,,
626,0.13424,0.98333,,
627,0.00103,1.0,,
628,0.13219,0.98276,,
629,0.00189,1.0,,
630,0.00279,1.0,,
631,0.29084,0.94118,,
632,0.27795,0.94286,,
633,0.00093,1.0,,
634,0.17846,0.97183,,
635,0.04795,0.98551,,
636,0.00325,1.0,,
637,0.08891,0.96721,,
638,0.00219,1.0,,
639,0.23707,0.9434,,
640,0.00076,1.0,,
641,0.07451,0.97101,,
642,0.13081,0.98592,,
643,0.13468,0.96825,,
644,0.00522,1.0,,
645,0.17494,0.95312,,
646,0.04528,0.98113,,
647,0.0731,0.98387,,
648,0.02961,0.98485,,
649,0.02263,0.98413,,
650,0.09086,0.98246,,
651,0.00176,1.0,,
652,0.04199,0.98305,,
653,0.00669,1.0,,
654,0.15857,0.97015,,
655,0.08543,0.98592,,
656,0.02925,0.98551,,
657,0.15097,0.94737,,
658,0.06079,0.98387,,
659,0.10499,0.96296,,
660,0.03882,0.98413,,
661,0.14837,0.98361,,
662,0.13587,0.98507,,
663,0.07791,0.98305,,
664,0.03765,0.98,,
665,0.00775,1.0,,
666,0.01552,1.0,,
667,0.06923,0.98507,,
668,0.13568,0.9697,,
669,0.06652,0.98182,,
670,0.01377,1.0,,
671,0.01486,1.0,,
672,0.02081,0.98387,,
673,0.17582,0.9661,,
674,0.06653,0.98462,,
675,0.03643,0.98305,,
676,0.01902,0.98438,,
677,0.08889,0.95082,,
678,0.039,0.98485,,
679,0.1109,0.98333,,
680,0.04135,0.98113,,
681,0.00735,1.0,,
682,0.05726,0.98551,,
683,0.10796,0.96429,,
684,0.07975,0.97183,,
685,0.07193,0.97143,,
686,0.00722,1.0,,
687,0.02332,1.0,,
688,0.05601,0.95312,,
689,0.28159,0.96825,,
690,0.05674,0.98438,,
691,0.26404,0.94366,,
692,0.00189,1.0,,
693,0.12756,0.95161,,
694,0.00341,1.0,,
695,0.05913,0.98462,,
696,0.07373,0.9589,,
697,0.02355,0.98485,,
698,0.05766,0.98361,,
699,0.03033,0.98529,,
700,0.05414,0.98438,0.02434,1.0
701,0.22906,0.9375,,
702,0.09617,0.9697,,
703,0.00833,1.0,,
704,0.15447,0.96,,
705,0.1121,0.96154,,
706,0.00703,1.0,,
707,0.00842,1.0,,
708,0.06116,0.98276,,
709,0.11719,0.9589,,
710,0.13092,0.96923,,
711,0.01247,1.0,,
712,0.02607,0.98611,,
713,0.01882,1.0,,
714,0.03807,0.98333,,
715,0.03108,0.97059,,
716,0.00971,1.0,,
717,0.00638,1.0,,
718,0.05969,0.98333,,
719,0.15423,0.95,,
720,0.03803,0.98387,,
721,0.14114,0.96774,,
722,0.00779,1.0,,
723,0.00422,1.0,,
724,0.00596,1.0,,
725,0.06074,0.96923,,
726,0.05712,0.98305,,
727,0.00845,1.0,,
728,0.00271,1.0,,
729,0.00238,1.0,,
730,0.04118,0.96667,,
731,0.1192,0.9697,,
732,0.10398,0.98361,,
733,0.00245,1.0,,
734,0.00083,1.0,,
735,0.00013,1.0,,
736,0.00076,1.0,,
737,0.00185,1.0,,
738,0.0076,1.0,,
739,0.09096,0.98529,,
740,0.00464,1.0,,
741,0.1977,0.97101,,
742,0.00463,1.0,,
743,0.01696,0.98361,,
744,0.30092,0.94203,,
745,0.4275,0.92,,
746,0.00024,1.0,,
747,0.00046,1.0,,
748,0.44942,0.93651,,
749,0.29834,0.93443,,
750,0.08737,0.96825,,
751,0.13813,0.95238,,
752,0.00421,1.0,,
753,0.12829,0.98438,,
754,0.0991,0.98571,,
755,0.24432,0.95082,,
756,0.20995,0.96923,,
757,0.00184,1.0,,
758,0.00069,1.0,,
759,0.00104,1.0,,
760,0.03707,0.98462,,
761,0.11945,0.96923,,
762,0.07646,0.98438,,
763,0.21562,0.97143,,
764,0.06815,0.98462,,
765,0.12074,0.96774,,
766,0.13093,0.98276,,
767,0.07805,0.97059,,
768,0.03305,0.98333,,
769,0.0077,1.0,,
770,0.11333,0.9697,,
771,0.01948,1.0,,
772,0.06458,0.97143,,
773,0.00305,1.0,,
774,0.03447,0.98507,,
775,0.00155,1.0,,
776,0.00564,1.0,,
777,0.02152,0.98462,,
778,0.09416,0.97183,,
779,0.0019,1.0,,
780,0.15963,0.9322,,
781,0.10308,0.98438,,
782,0.06202,0.97222,,
783,0.00397,1.0,,
784,0.0467,0.98246,,
785,0.0033,1.0,,
786,0.10972,0.98551,,
787,0.15961,0.9661,,
788,0.00975,1.0,,
789,0.18912,0.95082,,
790,0.12388,0.96721,,
791,0.01146,1.0,,
792,0.02377,0.98387,,
793,0.08921,0.98592,,
794,0.11677,0.9697,,
795,0.00169,1.0,,
796,0.11774,0.98413,,
797,0.09061,0.98148,,
798,0.09911,0.9661,,
799,0.02902,0.98507,,
800,0.03557,0.98507,0.00485,1.0
801,0.1245,0.97059,,
802,0.04564,0.98551,,
803,0.0739,0.9661,,
804,0.06166,0.98438,,
805,0.06413,0.98462,,
806,0.0788,0.95652,,
807,0.05914,0.9697,,
808,0.00989,1.0,,
809,0.12018,0.95588,,
810,0.08975,0.98529,,
811,0.09824,0.97015,,
812,0.02329,0.98361,,
813,0.017,1.0,,
814,0.0235,0.98571,,
815,0.00854,1.0,,
816,0.02025,0.98413,,
817,0.0239,1.0,,
818,0.01119,1.0,,
819,0.01117,1.0,,
820,0.00548,1.0,,
821,0.01026,1.0,,
822,0.00224,1.0,,
823,0.10548,0.98361,,
824,0.0282,0.9863,,
825,0.23484,0.94915,,
826,0.0434,0.98276,,
827,0.11605,0.96875,,
828,0.0002,1.0,,
829,0.00156,1.0,,
830,0.00073,1.0,,
831,0.1506,0.95455,,
832,0.07697,0.98361,,
833,0.00014,1.0,,
834,0.12754,0.97015,,
835,0.13524,0.98462,,
836,0.04813,0.98571,,
837,0.07089,0.98551,,
838,0.0418,0.98507,,
839,0.00013,1.0,,
840,0.15452,0.95385,,
841,0.09255,0.98333,,
842,0.0049,1.0,,
843,0.05468,0.98246,,
844,0.07122,0.96875,,
845,0.00959,1.0,,
846,0.09441,0.96154,,
847,0.16376,0.96364,,
848,0.00241,1.0,,
849,7e-05,1.0,,
850,0.18602,0.9697,,
851,0.00336,1.0,,
852,0.00176,1.0,,
853,0.14408,0.95161,,
854,0.05061,0.98485,,
855,0.25565,0.96923,,
856,0.00074,1.0,,
857,0.10461,0.96721,,
858,0.00248,1.0,,
859,0.00219,1.0,,
860,0.06926,0.98333,,
861,0.00194,1.0,,
862,0.00289,1.0,,
863,0.11946,0.96721,,
864,0.00056,1.0,,
865,0.06376,0.98507,,
866,0.00187,1.0,,
867,0.06525,0.98387,,
868,0.00163,1.0,,
869,0.00455,1.0,,
870,0.182,0.96875,,
871,0.0063,1.0,,
872,0.00887,1.0,,
873,0.08904,0.98246,,
874,0.07181,0.96875,,
875,0.06586,0.98387,,
876,0.09359,0.98182,,
877,0.07323,0.98438,,
878,0.07888,0.98214,,
879,0.29366,0.9661,,
880,0.17695,0.96825,,
881,0.00024,1.0,,
882,0.00012,1.0,,
883,0.04691,0.98387,,
884,0.12875,0.9697,,
885,0.00387,1.0,,
886,0.00051,1.0,,
887,0.11676,0.96429,,
888,0.20896,0.96774,,
889,0.03637,0.98438,,
890,0.04415,0.98485,,
891,0.03792,0.98361,,
892,0.03324,0.98361,,
893,0.00285,1.0,,
894,0.09469,0.98387,,
895,0.00248,1.0,,
896,0.00149,1.0,,
897,0.08889,0.98361,,
898,0.00518,1.0,,
899,0.00108,1.0,,
900,0.15213,0.97015,0.17318,0.97436
901,0.00331,1.0,,
902,0.11495,0.96923,,
903,0.04445,0.98438,,
904,0.0576,0.98361,,
905,0.00101,1.0,,
906,0.00595,1.0,,
907,0.08174,0.9697,,
908,0.00085,1.0,,
909,0.00256,1.0,,
910,0.0686,0.98462,,
911,0.03482,0.98305,,
912,0.05159,0.98387,,
913,0.00057,1.0,,
914,0.05123,0.98413,,
915,0.02046,0.98276,,
916,0.00372,1.0,,
917,0.16089,0.97059,,
918,0.0022,1.0,,
919,0.08439,0.98529,,
920,0.00928,1.0,,
921,0.10824,0.98438,,
922,0.01051,1.0,,
923,0.23164,0.96721,,
924,0.40712,0.96667,,
925,0.11496,0.96667,,
926,0.09889,0.97183,,
927,0.12169,0.96923,,
928,0.00096,1.0,,
929,0.12497,0.98361,,
930,0.00078,1.0,,
931,0.07419,0.96721,,
932,0.00319,1.0,,
933,0.00013,1.0,,
934,0.10901,0.98361,,
935,0.00157,1.0,,
936,0.09497,0.97059,,
937,0.08363,0.98413,,
938,0.35753,0.91304,,
939,0.00758,1.0,,
940,0.00016,1.0,,
941,0.04691,0.98246,,
942,0.05759,0.96875,,
943,0.17873,0.96552,,
944,0.00842,1.0,,
945,0.02734,0.98077,,
946,0.14537,0.95455,,
947,0.00042,1.0,,
948,0.07242,0.98387,,
949,0.0323,0.98485,,
950,0.08573,0.96825,,
951,0.16748,0.97015,,
952,0.11806,0.96875,,
953,0.00229,1.0,,
954,0.02447,0.98413,,
955,0.089,0.96825,,
956,0.1161,0.97015,,
957,0.11675,0.95946,,
958,0.18481,0.9726,,
959,0.00661,1.0,,
960,0.00649,1.0,,
961,0.01588,1.0,,
962,0.011,1.0,,
963,0.10033,0.95312,,
964,0.1054,0.95161,,
965,0.04964,0.98182,,
966,0.02623,0.98529,,
967,0.00324,1.0,,
968,0.01003,1.0,,
969,0.0403,0.98413,,
970,0.00232,1.0,,
971,0.03563,0.98462,,
972,0.06817,0.98611,,
973,0.01681,1.0,,
974,0.0112,1.0,,
975,0.0163,0.98462,,
976,0.18019,0.94203,,
977,0.11795,0.96491,,
978,0.04197,0.98438,,
979,0.32477,0.93651,,
980,0.08827,0.96923,,
981,0.00103,1.0,,
982,0.01032,1.0,,
983,0.00296,1.0,,
984,0.0073,1.0,,
985,0.02364,0.98438,,
986,0.00415,1.0,,
987,0.15211,0.94444,,
988,0.01235,1.0,,
989,0.00757,1.0,,
990,0.07418,0.97059,,
991,0.08183,0.97222,,
992,0.01141,1.0,,
993,0.01475,0.98571,,
994,0.00385,1.0,,
995,0.07288,0.98361,,
996,0.1834,0.97059,,
997,0.19061,0.96875,,
998,0.04074,0.98485,,
999,0.18556,0.96667,,
1000,0.00075,1.0,0.00586,1.0
1001,0.00884,1.0,,
1002,0.08911,0.96774,,
1003,0.14615,0.98182,,
1004,0.15884,0.96825,,
1005,0.0008,1.0,,
1006,0.13194,0.97183,,
1007,0.10771,0.96721,,
