step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
399,0.00011,1.0,,
400,0.00014,1.0,0.00026,1.0
401,0.0002,1.0,,
402,0.08336,0.99138,,
403,0.04354,0.99167,,
404,0.0452,1.0,,
405,0.02074,0.99123,,
406,0.01072,1.0,,
407,0.00057,1.0,,
408,0.00032,1.0,,
409,0.00033,1.0,,
410,0.00023,1.0,,
411,0.17237,0.97414,,
412,0.09513,0.98361,,
413,0.00022,1.0,,
414,0.18895,0.96667,,
415,0.08455,0.99074,,
416,0.00011,1.0,,
417,9e-05,1.0,,
418,7e-05,1.0,,
419,0.00031,1.0,,
420,6e-05,1.0,,
421,0.05067,0.99153,,
422,0.02252,0.9918,,
423,0.05809,0.99091,,
424,0.00035,1.0,,
425,8e-05,1.0,,
426,0.0055,1.0,,
427,0.01708,0.99123,,
428,0.09557,0.9823,,
429,0.02562,0.99153,,
430,0.00289,1.0,,
431,0.00065,1.0,,
432,0.00013,1.0,,
433,0.06877,0.99099,,
434,0.04791,0.99091,,
435,0.01303,0.99091,,
436,0.00028,1.0,,
437,0.0418,0.99074,,
438,0.00021,1.0,,
439,0.03043,0.99091,,
440,0.00031,1.0,,
441,0.05916,0.9823,,
442,0.06828,0.99091,,
443,0.02179,0.99167,,
444,2e-05,1.0,,
445,0.00879,1.0,,
446,0.01881,0.9913,,
447,0.07075,0.99074,,
448,0.00121,1.0,,
449,0.07144,0.97368,,
450,0.01029,0.99099,,
451,0.00149,1.0,,
452,0.00015,1.0,,
453,0.00283,1.0,,
454,0.09785,0.98198,,
455,0.01898,0.99123,,
456,0.0244,0.99065,,
457,0.03997,0.99099,,
458,2e-05,1.0,,
459,0.00045,1.0,,
460,0.01803,0.99099,,
461,0.00012,1.0,,
462,0.10308,0.98333,,
463,0.04675,0.99091,,
464,0.02369,0.99074,,
465,0.0002,1.0,,
466,0.0005,1.0,,
467,0.1657,0.97521,,
468,6e-05,1.0,,
469,9e-05,1.0,,
470,0.00201,1.0,,
471,0.00155,1.0,,
472,0.0029,1.0,,
473,0.12497,0.98291,,
474,0.04858,0.99099,,
475,0.00022,1.0,,
476,0.02347,0.9916,,
477,7e-05,1.0,,
478,0.00018,1.0,,
479,6e-05,1.0,,
480,0.09954,0.98276,,
481,4e-05,1.0,,
482,0.03488,0.99115,,
483,6e-05,1.0,,
484,0.00059,1.0,,
485,0.0204,0.99138,,
486,0.0662,0.98291,,
487,0.00017,1.0,,
488,9e-05,1.0,,
489,0.00022,1.0,,
490,0.1774,0.97273,,
491,0.00013,1.0,,
492,0.00015,1.0,,
493,0.08455,0.99123,,
494,7e-05,1.0,,
495,0.05038,0.99091,,
496,9e-05,1.0,,
497,0.05022,0.99115,,
498,0.06064,0.99091,,
499,0.00014,1.0,,
500,8e-05,1.0,0.0001,1.0
501,0.02204,0.99123,,
502,0.04648,0.99123,,
503,0.00015,1.0,,
504,0.00037,1.0,,
505,0.00425,1.0,,
506,7e-05,1.0,,
507,0.01226,0.99145,,
508,0.02957,0.98276,,
509,0.00123,1.0,,
510,4e-05,1.0,,
511,5e-05,1.0,,
512,0.01984,0.99138,,
513,0.04425,0.99123,,
514,0.04233,0.98182,,
515,0.00013,1.0,,
516,0.02126,0.9913,,
517,0.05896,0.98276,,
518,0.11945,0.9823,,
519,0.0015,1.0,,
520,0.00162,1.0,,
521,0.04831,0.99145,,
522,1e-05,1.0,,
523,0.06095,0.97541,,
524,1e-05,1.0,,
525,1e-05,1.0,,
526,0.03061,0.99074,,
527,0.09009,0.98131,,
528,2e-05,1.0,,
529,0.0018,1.0,,
530,4e-05,1.0,,
531,0.0287,0.99099,,
532,0.00071,1.0,,
533,0.0013,1.0,,
534,4e-05,1.0,,
535,2e-05,1.0,,
536,0.02846,0.99153,,
537,0.16849,0.9823,,
538,0.0,1.0,,
539,0.00556,1.0,,
540,0.04637,0.99099,,
541,0.03294,0.98182,,
542,0.05183,0.98305,,
543,0.0096,1.0,,
544,0.02003,0.99115,,
545,2e-05,1.0,,
546,0.12325,0.98333,,
547,0.05005,0.98131,,
548,0.00012,1.0,,
549,0.00685,1.0,,
550,0.03407,0.99138,,
551,0.00217,1.0,,
552,0.0401,0.99074,,
553,0.07964,0.99091,,
554,0.01332,1.0,,
555,0.00037,1.0,,
556,0.03027,0.99074,,
557,0.00027,1.0,,
558,6e-05,1.0,,
559,3e-05,1.0,,
560,0.11599,0.97414,,
561,0.03863,0.99123,,
562,7e-05,1.0,,
563,0.00288,1.0,,
564,0.00037,1.0,,
565,0.00015,1.0,,
566,0.10845,0.98276,,
567,0.0002,1.0,,
568,2e-05,1.0,,
569,0.0023,1.0,,
570,3e-05,1.0,,
571,0.03326,0.99099,,
572,2e-05,1.0,,
573,0.18019,0.97638,,
574,0.0015,1.0,,
575,0.00637,1.0,,
576,0.00048,1.0,,
577,0.01276,0.99123,,
578,0.04514,0.99099,,
579,0.01484,0.99145,,
580,0.00208,1.0,,
581,0.1613,0.97391,,
582,0.01919,0.99091,,
583,0.03389,0.99083,,
584,0.02688,0.9913,,
585,0.01689,0.99123,,
586,2e-05,1.0,,
587,3e-05,1.0,,
588,0.0001,1.0,,
589,0.04187,0.99048,,
590,0.03256,0.99115,,
591,0.00208,1.0,,
592,3e-05,1.0,,
593,0.03239,0.99123,,
594,1e-05,1.0,,
595,0.10052,0.98261,,
596,0.02074,0.99099,,
597,7e-05,1.0,,
598,0.00025,1.0,,
599,3e-05,1.0,,
600,0.00842,0.99138,2e-05,1.0
601,0.0,1.0,,
602,0.00218,1.0,,
603,3e-05,1.0,,
604,0.01679,0.99074,,
605,1e-05,1.0,,
606,0.02265,0.99091,,
607,0.00042,1.0,,
608,1e-05,1.0,,
609,0.00185,1.0,,
610,0.04003,0.99115,,
611,0.0,1.0,,
612,0.00162,1.0,,
613,0.00465,1.0,,
614,0.05453,0.99115,,
615,0.00782,0.99107,,
616,1e-05,1.0,,
617,0.01012,0.99115,,
618,1e-05,1.0,,
619,0.10459,0.99091,,
620,1e-05,1.0,,
621,0.04834,0.99065,,
622,0.17962,0.97458,,
623,2e-05,1.0,,
624,0.00589,1.0,,
625,0.06426,0.99115,,
626,0.00502,1.0,,
627,0.00021,1.0,,
628,4e-05,1.0,,
629,0.09484,0.99138,,
630,0.10852,0.99115,,
631,0.00241,1.0,,
632,1e-05,1.0,,
633,0.00013,1.0,,
634,0.0005,1.0,,
635,4e-05,1.0,,
636,0.06061,0.99123,,
637,5e-05,1.0,,
638,9e-05,1.0,,
639,0.00066,1.0,,
640,0.05504,0.99187,,
641,0.00023,1.0,,
642,0.00011,1.0,,
643,2e-05,1.0,,
644,8e-05,1.0,,
645,2e-05,1.0,,
646,1e-05,1.0,,
647,0.0,1.0,,
648,0.09275,0.98198,,
649,0.02169,0.99123,,
650,8e-05,1.0,,
651,0.05209,0.99115,,
652,0.08069,0.99145,,
653,0.00146,1.0,,
654,0.13105,0.98305,,
655,0.02171,0.98148,,
656,0.00017,1.0,,
657,0.02553,0.99138,,
658,7e-05,1.0,,
659,0.02123,0.99123,,
660,0.00202,1.0,,
661,7e-05,1.0,,
662,7e-05,1.0,,
663,0.04346,0.99115,,
